symbol,composite_score,alpha_factors_score,ml_features_score,technical_score,sentiment_score,ml_predictor_score,confidence,num_factors,weight,last_price,target_qty,current_qty,delta,side,order_status,order_id,reason
CHI,0.013397088778311418,0.11365332700797998,0.0,0.0,-0.2873716259106942,0.0,0.3333333333333333,90,0.0,10.5,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CHMI,-0.023955289054046463,0.0373580169544062,0.0,0.0,-0.20789520707940443,0.0,0.3333333333333333,90,0.0,2.27,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CHPT,-0.08081830238826798,0.09607664645820635,0.0,0.0,-0.6115031489276909,0.0,0.3333333333333333,90,0.0,8.26,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CHRD,0.1904431475174754,0.21851808649079713,0.0,0.0,0.10621833059751018,0.0,0.3333333333333333,90,0.0,91.48,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CHRS,0.0548758564074553,0.2213655596278821,0.0,0.0,-0.44459325325382504,0.0,0.3333333333333333,90,0.0,1.23,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CHRW,0.2910029398075862,0.3920358053960226,0.0,0.0,-0.012095656957723126,0.0,0.3333333333333333,90,0.0,152.57,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CHSCL,0.07689975353530809,0.1022063355383027,0.0,0.0,0.0009800075263242823,0.0,0.3333333333333333,85,0.0,25.515,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CHSCO,0.05860690555078663,0.10558714961567146,0.0,0.0,-0.08233382664386783,0.0,0.3333333333333333,86,0.0,26.22,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CHTR,-0.02705360691496692,0.05928811878227616,0.0,0.0,-0.2860787840066961,0.0,0.3333333333333333,90,0.0,200.435,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CHW,0.05423589898486647,0.14917024311313481,0.0,0.0,-0.23056713339993853,0.0,0.3333333333333333,90,0.0,7.205,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CHWY,0.1438019393931215,0.1086736937443451,0.0,0.0,0.2491866763394506,0.0,0.3333333333333333,90,0.0,34.68,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CHY,0.07207620933067103,0.17181259832403162,0.0,0.0,-0.22713295764941063,0.0,0.3333333333333333,90,0.0,11.14,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CI,0.13711735490400315,0.16861435815297796,0.0,0.0,0.04262634515707867,0.0,0.3333333333333333,90,0.0,273.105,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CIA,0.12026640557015487,0.20818397497168376,0.0,0.0,-0.1434863026344317,0.0,0.3333333333333333,90,0.0,5.545,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CIEN,0.13465145401992587,0.3450275147525145,0.0,0.0,-0.49647672817784,0.0,0.3333333333333333,90,0.0,186.725,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CIFR,0.04801869456436637,0.2571850663322432,0.0,0.0,-0.579480420739264,0.0,0.3333333333333333,90,0.0,15.08,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CIFRW,0.057877097907153265,0.3074413909947578,0.0,0.0,-0.6908157813556602,0.0,0.3333333333333333,89,0.0,5.13,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CII,0.11257109158329513,0.20473922439826245,0.0,0.0,-0.16393330686160681,0.0,0.3333333333333333,89,0.0,23.38,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CIK,0.055447695504651624,0.10028359748814211,0.0,0.0,-0.07906001044581983,0.0,0.3333333333333333,90,0.0,2.795,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CIM,0.055703398371964044,0.1078753470142886,0.0,0.0,-0.1008124475550096,0.0,0.3333333333333333,90,0.0,11.865,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CIMN,0.13738654802797465,0.21606500397790562,0.0,0.0,-0.09864881982181828,0.0,0.3333333333333333,87,0.0,24.76,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CIMO,0.10307511509796637,0.16764143834000506,0.0,0.0,-0.09062385462814972,0.0,0.3333333333333333,86,0.0,24.85,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CINF,0.25143007837970693,0.3722350677849859,0.0,0.0,-0.11098488983613017,0.0,0.3333333333333333,90,0.0,163.18,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CING,-0.09540177237088358,0.04577235388550789,0.0,0.0,-0.518924151140058,0.0,0.3333333333333333,89,0.0,3.31,0,0,0,hold,hold,,"No delta (current=0, target=0)"
