symbol,alpha_factors_score,ml_features_score,technical_score,fundamental_score,sentiment_score,ml_predictor_score,composite_score,confidence,num_factors_computed
RIO,0.2170702206848948,0.0,0.0,0.0,-0.10632432068046761,0.0,0.1362215853435542,0.2857142857142857,90
SLVO,0.41361384276373675,0.0,0.0,0.0,-0.06883148077628577,0.0,0.2930025118787311,0.2857142857142857,88
TTE,0.29870649414841804,0.0,0.0,0.0,-0.056534709247354556,0.0,0.20989619329947487,0.2857142857142857,90
UL,0.0773734462807191,0.0,0.0,0.0,-0.12041406107803768,0.0,0.027926569441029902,0.2857142857142857,90
WTW,0.12092504997777795,0.0,0.0,0.0,-0.1065801628484849,0.0,0.06404874677121224,0.2857142857142857,90
AAMI,0.09785747450368913,0.0,0.0,0.0,-0.11804021420634973,0.0,0.0438830523261794,0.2857142857142857,90
ABVX,0.427570836307284,0.0,0.0,0.0,0.5387407951134897,0.0,0.45536332600883545,0.2857142857142857,90
ARM,0.08206342430308587,0.0,0.0,0.0,-0.11562703175429084,0.0,0.03264081028874169,0.2857142857142857,90
ASML,0.2611631891742209,0.0,0.0,0.0,0.0916279147806514,0.0,0.2187793705758285,0.2857142857142857,90
AUTL,0.10534884307869817,0.0,0.0,0.0,0.0,0.0,0.07901163230902362,0.2857142857142857,90
BETR,0.18408445122339476,0.0,0.0,0.0,-0.6761187102170412,0.0,-0.030966339136714236,0.2857142857142857,89
BP,0.31625482330713584,0.0,0.0,0.0,-0.07452930703875783,0.0,0.21855879072066242,0.2857142857142857,90
CCEP,0.22584291491797856,0.0,0.0,0.0,-0.11919279745029973,0.0,0.13958398682590897,0.2857142857142857,90
CNCK,0.04253999916090441,0.0,0.0,0.0,-0.13800266513638174,0.0,-0.0025956669134171305,0.2857142857142857,89
ERIC,0.23834804333251358,0.0,0.0,0.0,-0.26496036176249343,0.0,0.11252094205876181,0.2857142857142857,90
FCO,0.10655714231955192,0.0,0.0,0.0,0.03321037371542531,0.0,0.08822045016852026,0.2857142857142857,90
GNFT,0.4466868146392706,0.0,0.0,0.0,0.7040568061109558,0.0,0.511029312507192,0.2857142857142857,86
GSK,0.3093330100513518,0.0,0.0,0.0,-0.18090113559870521,0.0,0.1867744736388375,0.2857142857142857,90
JMIA,0.15183505008626225,0.0,0.0,0.0,-0.012424807893444034,0.0,0.11077008559133568,0.2857142857142857,90
KNOP,0.3063733749680686,0.0,0.0,0.0,0.19196196256462147,0.0,0.27777052186720685,0.2857142857142857,90
LAES,0.1317269000353417,0.0,0.0,0.0,-0.7188928092102548,0.0,-0.08092802727605744,0.2857142857142857,90
NAMS,0.3093117818047064,0.0,0.0,0.0,0.28910228444728203,0.0,0.30425940746535035,0.2857142857142857,90
NEON,-0.0036077369100158624,0.0,0.0,0.0,-0.5092184222346057,0.0,-0.13001040824116333,0.2857142857142857,90
OTLY,0.06371450772156348,0.0,0.0,0.0,-0.3817253370800849,0.0,-0.047645453478848625,0.2857142857142857,90
