symbol,alpha_factors_score,ml_features_score,technical_score,fundamental_score,sentiment_score,ml_predictor_score,composite_score,confidence,num_factors_computed
AMKR,0.3194987100909092,0.0,0.0,0.0,-0.08117269895953909,0.0,0.21933085782829712,0.2857142857142857,90
AMRC,0.11598141760633215,0.0,0.0,0.0,-0.07047308547725657,0.0,0.06936779183543498,0.2857142857142857,90
AMSC,0.09623843712280367,0.0,0.0,0.0,-0.3540749144187407,0.0,-0.01633990076258245,0.2857142857142857,90
AMZN,0.31893560414959293,0.0,0.0,0.0,-0.3047749020572407,0.0,0.16300797759788452,0.2857142857142857,90
ANGO,0.19484286334979914,0.0,0.0,0.0,-0.16500871100378098,0.0,0.10487996976140408,0.2857142857142857,90
ANIK,0.19857970778896225,0.0,0.0,0.0,-0.27084711851672155,0.0,0.08122300121254128,0.2857142857142857,90
AOSL,0.1751880414865855,0.0,0.0,0.0,-0.07940805629901866,0.0,0.11153901704018446,0.2857142857142857,90
AOUT,0.09808139218700697,0.0,0.0,0.0,-0.060992899105232035,0.0,0.058312819363947214,0.2857142857142857,90
APPF,0.14791091970259174,0.0,0.0,0.0,-0.46280263446337905,0.0,-0.004767468838900974,0.2857142857142857,90
APPS,0.16872045641173444,0.0,0.0,0.0,-0.5851130760616191,0.0,-0.019737926706603962,0.2857142857142857,90
APVO,0.09003505373958019,0.0,0.0,0.0,-0.6315225053651795,0.0,-0.09035433603660975,0.2857142857142857,90
APYX,0.46187826980493446,0.0,0.0,0.0,-0.1163222210286124,0.0,0.3173281470965478,0.2857142857142857,89
ARAY,0.08018690609512456,0.0,0.0,0.0,-0.6715239282944881,0.0,-0.10774080250227865,0.2857142857142857,90
ARDC,0.1906451924711555,0.0,0.0,0.0,-0.13756171941090653,0.0,0.10859346450063996,0.2857142857142857,90
ARHS,0.10072312575556316,0.0,0.0,0.0,-0.14899178224227108,0.0,0.0382943987561046,0.2857142857142857,90
ASPI,0.10371123269872157,0.0,0.0,0.0,-0.28913220671102186,0.0,0.0055003728462856985,0.2857142857142857,90
AZTA,0.1449880800985134,0.0,0.0,0.0,0.025086739292881893,0.0,0.11501274489710553,0.2857142857142857,90
AZZ,0.1748599697904779,0.0,0.0,0.0,0.0734084274109675,0.0,0.14949708419560032,0.2857142857142857,90
BBW,0.0840488912284642,0.0,0.0,0.0,-0.17347096384221836,0.0,0.019668927460793555,0.2857142857142857,90
BCAX,0.21911497014814757,0.0,0.0,0.0,0.3088722533169416,0.0,0.2415542909403461,0.2857142857142857,90
BDSX,0.31238493881703333,0.0,0.0,0.0,-0.5515622094078471,0.0,0.09639815176081322,0.2857142857142857,89
BE,0.31370264153495986,0.0,0.0,0.0,0.25573880513669345,0.0,0.29921168243539326,0.2857142857142857,90
BENF,0.2126152854759027,0.0,0.0,0.0,0.45755505857508877,0.0,0.27385022875069925,0.2857142857142857,89
BFZ,0.11432345460916278,0.0,0.0,0.0,-0.03656348282011434,0.0,0.0766017202518435,0.2857142857142857,89
BLNE,0.12222460149185914,0.0,0.0,0.0,-0.5419669693386792,0.0,-0.04382329121577546,0.2857142857142857,90
BRW,0.09214024874911866,0.0,0.0,0.0,-0.04898038211464524,0.0,0.05686009103317769,0.2857142857142857,89
BSM,0.23374698500313879,0.0,0.0,0.0,-0.02012905231339405,0.0,0.1702779756740056,0.2857142857142857,90
BTOC,0.06226848877623701,0.0,0.0,0.0,-0.8437244277969772,0.0,-0.16422974036706658,0.2857142857142857,89
AAME,0.14706232050317972,0.0,0.0,0.0,-0.8561351016404783,0.0,-0.10373703503273483,0.2857142857142857,89
ABBV,0.4234039379743065,0.0,0.0,0.0,0.01205331438224288,0.0,0.32056628207629057,0.2857142857142857,90
ABOS,0.1363457905763527,0.0,0.0,0.0,-0.5983722781099544,0.0,-0.04733372659522409,0.2857142857142857,90
ACI,0.09501671404774684,0.0,0.0,0.0,-0.03477584018321644,0.0,0.06256857549000602,0.2857142857142857,90
AD,0.07708214776591904,0.0,0.0,0.0,-0.003313440491583835,0.0,0.05698325070154332,0.2857142857142857,90
ADP,0.12186896011159135,0.0,0.0,0.0,-0.08347253253449656,0.0,0.07053358695006938,0.2857142857142857,90
AGCO,0.0635526793747995,0.0,0.0,0.0,-0.22956324631301014,0.0,-0.009726302047152921,0.2857142857142857,90
AIV,0.14134258997294333,0.0,0.0,0.0,-0.044063160370824715,0.0,0.09499115238700132,0.2857142857142857,90
AIZN,0.14355560405640977,0.0,0.0,0.0,0.10296045813917033,0.0,0.13340681757709993,0.2857142857142857,87
ALEC,0.10885048338182866,0.0,0.0,0.0,0.12435300177159686,0.0,0.11272611297927071,0.2857142857142857,90
ALRS,0.06677554270206312,0.0,0.0,0.0,-0.11565120646235608,0.0,0.02116885541095832,0.2857142857142857,90
AMBC,0.328852575144794,0.0,0.0,0.0,-0.2540207025948047,0.0,0.1831342557098943,0.2857142857142857,90
AMG,0.33745691191364924,0.0,0.0,0.0,-0.094223209573432,0.0,0.2295368815418789,0.2857142857142857,90
AMRX,0.34007622611985855,0.0,0.0,0.0,-0.0021691939946434685,0.0,0.25451487109123305,0.2857142857142857,90
ASMB,0.4449881498725653,0.0,0.0,0.0,0.3343535932860351,0.0,0.4173295107259328,0.2857142857142857,90
ASTI,0.1143106983027828,0.0,0.0,0.0,-0.07630399167692097,0.0,0.06665702580785686,0.2857142857142857,89
ASUR,0.20490575249010728,0.0,0.0,0.0,-0.07366704282721129,0.0,0.13526255366077766,0.2857142857142857,90
ATOM,0.11651125903019977,0.0,0.0,0.0,-0.23467424086403516,0.0,0.028714884056641025,0.2857142857142857,90
ATR,0.12323013674244611,0.0,0.0,0.0,-0.08841510523146617,0.0,0.07031882624896804,0.2857142857142857,90
ATXS,0.2620808454408762,0.0,0.0,0.0,0.00804487873105172,0.0,0.19857185376342007,0.2857142857142857,90
AVAL,0.282227815808056,0.0,0.0,0.0,-0.1675986330863862,0.0,0.16977120358444545,0.2857142857142857,89
AVPT,0.11233888517623189,0.0,0.0,0.0,-0.0824412097379923,0.0,0.06364386144767585,0.2857142857142857,90
AVTX,0.29809515624388183,0.0,0.0,0.0,0.7353407574769999,0.0,0.40740655655216135,0.2857142857142857,90
BALY,0.2587339785911265,0.0,0.0,0.0,0.15705335030995385,0.0,0.23331382152083333,0.2857142857142857,89
