symbol,alpha_factors_score,ml_features_score,technical_score,fundamental_score,sentiment_score,ml_predictor_score,composite_score,confidence,num_factors_computed
TAOP,0.035336162547078165,0.0,0.0,0.0,-0.6357886297361075,0.0,-0.13244503552371828,0.2857142857142857,88
TUYA,0.09773310679939039,0.0,0.0,0.0,0.0,0.0,0.07329983009954279,0.2857142857142857,90
WVE,0.19105459765674687,0.0,0.0,0.0,0.1673304249525029,0.0,0.18512355448068588,0.2857142857142857,90
YRD,0.11507415274481242,0.0,0.0,0.0,-0.4391311294653327,0.0,-0.023477167807723884,0.2857142857142857,89
ZCMD,0.022129818169411997,0.0,0.0,0.0,-0.5576876246943675,0.0,-0.1228245425465329,0.2857142857142857,86
ZTO,0.13522389479602542,0.0,0.0,0.0,-0.007894572828116174,0.0,0.09944427788999002,0.2857142857142857,90
AMBR,0.028897716101180592,0.0,0.0,0.0,-0.7235390256336116,0.0,-0.15921146933251748,0.2857142857142857,89
BILI,0.1049954549823855,0.0,0.0,0.0,-0.1134965003186903,0.0,0.05037246615711654,0.2857142857142857,90
CPOP,0.03153855589193745,0.0,0.0,0.0,-0.9327015906681702,0.0,-0.2095214807480895,0.2857142857142857,88
CUPR,0.11146628146954134,0.0,0.0,0.0,-0.11343373432144639,0.0,0.0552412775217944,0.2857142857142857,88
EUDA,0.26916559467817186,0.0,0.0,0.0,-0.44543565033380983,0.0,0.09051528342517641,0.2857142857142857,89
GHG,0.14952690286666495,0.0,0.0,0.0,-0.22788621936789694,0.0,0.055173622308024466,0.2857142857142857,89
HTLM,0.13564481346499135,0.0,0.0,0.0,-0.1579033205895938,0.0,0.06225777995134506,0.2857142857142857,88
JOF,0.09899691510952312,0.0,0.0,0.0,-0.09312023521134156,0.0,0.05096762752930694,0.2857142857142857,89
JZXN,0.019142440679206636,0.0,0.0,0.0,-0.5568535269323873,0.0,-0.12485655122369187,0.2857142857142857,89
LOBO,0.19851580566213076,0.0,0.0,0.0,-0.8452972654648169,0.0,-0.06243746211960619,0.2857142857142857,88
LOT,0.05977016604578364,0.0,0.0,0.0,-0.5486433391497995,0.0,-0.09233321025311216,0.2857142857142857,89
LPL,0.12039268063363935,0.0,0.0,0.0,-0.1629338565350381,0.0,0.04956104634146998,0.2857142857142857,90
LU,0.10745533401486008,0.0,0.0,0.0,-0.5001082960173685,0.0,-0.04443557349319708,0.2857142857142857,90
NEGG,0.29422907599225606,0.0,0.0,0.0,-0.8573044306208423,0.0,0.006345699338981437,0.2857142857142857,90
NTES,0.1529259257766457,0.0,0.0,0.0,-0.2935906552036913,0.0,0.041296780531561446,0.2857142857142857,90
PMEC,0.14879340150878978,0.0,0.0,0.0,0.5093100732176663,0.0,0.23892256943600892,0.2857142857142857,89
QH,0.07167169439667956,0.0,0.0,0.0,-0.8221647727602909,0.0,-0.15178742239256307,0.2857142857142857,89
TM,0.13441412255949933,0.0,0.0,0.0,-0.15849507820864914,0.0,0.0611868223674622,0.2857142857142857,90
VFS,0.34618139414291643,0.0,0.0,0.0,0.29510975123189986,0.0,0.3334134834151623,0.2857142857142857,90
WDH,0.16342842067589491,0.0,0.0,0.0,0.03104592032061615,0.0,0.13033279558707525,0.2857142857142857,89
XNET,0.09112931377464926,0.0,0.0,0.0,-0.4129002830729266,0.0,-0.03487808543724471,0.2857142857142857,90
ZJK,0.06981285928991549,0.0,0.0,0.0,-0.5046723977218565,0.0,-0.07380845496302753,0.2857142857142857,88
BLMZ,0.08314086744696575,0.0,0.0,0.0,-0.886443056065331,0.0,-0.15925511343110849,0.2857142857142857,90
BTCT,0.09418546589491239,0.0,0.0,0.0,-0.4705314495782693,0.0,-0.046993762973383056,0.2857142857142857,88
CPHI,0.14351452244506185,0.0,0.0,0.0,0.2913126124515912,0.0,0.18046404494669419,0.2857142857142857,88
CPNG,0.057150759642145686,0.0,0.0,0.0,-0.19885702333964714,0.0,-0.006851186103302529,0.2857142857142857,90
DTSS,0.14934716530473552,0.0,0.0,0.0,-0.784886061916345,0.0,-0.08421114150053464,0.2857142857142857,87
EPWK,0.5669141508057032,0.0,0.0,0.0,1.0,0.0,0.6751856131042774,0.2857142857142857,89
EZGO,0.1494216093156657,0.0,0.0,0.0,-0.9731017809481157,0.0,-0.13120923825027972,0.2857142857142857,90
FAX,0.10493145866664721,0.0,0.0,0.0,-0.00327009952738012,0.0,0.07788106911814038,0.2857142857142857,90
GMHS,0.06289582701733623,0.0,0.0,0.0,-0.6424447342591665,0.0,-0.11343931330178947,0.2857142857142857,89
HTHT,0.413174971483628,0.0,0.0,0.0,-0.09857868168305706,0.0,0.28523655819195676,0.2857142857142857,90
JFIN,0.14504971628489283,0.0,0.0,0.0,-0.46735556688495145,0.0,-0.008051604507568257,0.2857142857142857,88
JYD,0.2404601502167936,0.0,0.0,0.0,-0.370849843473969,0.0,0.08763265179410294,0.2857142857142857,89
KLIC,0.10271300670447531,0.0,0.0,0.0,-0.2956296418387995,0.0,0.0031273445686565986,0.2857142857142857,90
MTC,0.4636398964152436,0.0,0.0,0.0,-0.5647386915817408,0.0,0.2065452494159975,0.2857142857142857,88
NBP,0.19752468584229585,0.0,0.0,0.0,0.4301236792274508,0.0,0.2556744341885846,0.2857142857142857,90
NWGL,0.16625058704832602,0.0,0.0,0.0,-0.42257254367635994,0.0,0.019044804367154517,0.2857142857142857,87
PETZ,0.018285476217412916,0.0,0.0,0.0,-0.3484130125386122,0.0,-0.07338914597159338,0.2857142857142857,83
PKX,0.2228702872733312,0.0,0.0,0.0,-0.06555038016783711,0.0,0.15076512041303913,0.2857142857142857,90
RLX,0.2784387091022326,0.0,0.0,0.0,0.37737544375653015,0.0,0.303172892765807,0.2857142857142857,90
SONY,0.208802001693278,0.0,0.0,0.0,-0.15162314566573262,0.0,0.11869571485352533,0.2857142857142857,90
STG,0.06202809471252889,0.0,0.0,0.0,0.0,0.0,0.04652107103439667,0.2857142857142857,78
SY,0.30398092849214803,0.0,0.0,0.0,-0.5368510497434373,0.0,0.09377293393325166,0.2857142857142857,90
UK,0.1755017174040815,0.0,0.0,0.0,0.5226654296858212,0.0,0.2622926454745164,0.2857142857142857,88
WAFU,0.1440392791350829,0.0,0.0,0.0,-0.33002574224502995,0.0,0.025523023790054684,0.2857142857142857,87
ZTS,0.10682923978456553,0.0,0.0,0.0,-0.16564900624131756,0.0,0.038709678278094746,0.2857142857142857,90
BABA,0.10378346309305293,0.0,0.0,0.0,-0.03032784550153474,0.0,0.07025563594440602,0.2857142857142857,90
BEKE,0.08124580616718742,0.0,0.0,0.0,0.025398003644663183,0.0,0.06728385553655636,0.2857142857142857,90
BIYA,0.21141739865400405,0.0,0.0,0.0,-0.34525649572571604,0.0,0.07224892505907403,0.2857142857142857,87
BMGL,0.10979279662733081,0.0,0.0,0.0,-0.5204254625948282,0.0,-0.04776176817820898,0.2857142857142857,89
BZ,0.16030430896706654,0.0,0.0,0.0,0.03112021604793288,0.0,0.12800828573728315,0.2857142857142857,90
CHR,0.07615388135001029,0.0,0.0,0.0,0.7978918313630317,0.0,0.2565883688532657,0.2857142857142857,89
DOYU,0.1680976278926715,0.0,0.0,0.0,0.1167669810944103,0.0,0.1552649661931062,0.2857142857142857,89
ECX,0.21846507873105986,0.0,0.0,0.0,-0.8136675857785621,0.0,-0.03956808739634566,0.2857142857142857,90
EH,0.0691937151592034,0.0,0.0,0.0,-0.38507976991654835,0.0,-0.04437465610973455,0.2857142857142857,90
FLX,0.21541855205605864,0.0,0.0,0.0,-0.04569985303398362,0.0,0.15013895078354808,0.2857142857142857,90
